Date,Description,Amount,Type
2025-07-01 19:49:12,SALARY CREDIT,72468.05,CREDIT
2025-07-02 10:23:19,OLA,299.57,DEBIT
2025-07-03 16:05:02,RENT PAYMENT,13909.2,DEBIT
2025-07-04 21:30:02,IRCTC,371.68,DEBIT
2025-07-05 07:01:56,CULT FIT GYM,2011.67,DEBIT
2025-07-05 16:13:05,SPOTIFY,504.13,DEBIT
2025-07-05 21:04:23,ZOMATO,485.75,DEBIT
2025-07-06 18:58:07,IRCTC,476.51,DEBIT
2025-07-08 16:33:21,AMAZON PRIME,638.17,DEBIT
2025-07-08 17:24:46,NETFLIX,372.17,DEBIT
2025-07-10 07:50:09,OLA,203.47,DEBIT
2025-07-13 15:15:53,ELECTRICITY BOARD,1535.0,DEBIT
2025-07-14 09:05:03,ZEPTO,1559.81,DEBIT
2025-07-14 20:32:07,WATER DEPT,1272.47,DEBIT
2025-07-15 07:29:21,BIGBASKET,817.15,DEBIT
2025-07-15 18:16:40,AIRTEL BROADBAND,1123.56,DEBIT
2025-07-16 11:45:32,AMAZON,2364.53,DEBIT
2025-07-16 21:44:59,STARBUCKS,581.88,DEBIT
2025-07-17 19:55:16,STARBUCKS,441.65,DEBIT
2025-07-22 11:45:24,DMART,1498.7,DEBIT
2025-07-24 12:09:32,MYNTRA,2941.2,DEBIT
2025-07-24 17:33:37,ZEPTO,746.69,DEBIT
2025-07-26 14:22:19,BIGBASKET,1444.06,DEBIT
2025-07-27 21:06:09,BIGBASKET,1489.97,DEBIT
2025-07-28 10:23:36,IRCTC,251.62,DEBIT
2025-08-01 11:50:37,SALARY CREDIT,72468.05,CREDIT
2025-08-03 07:36:40,ZEPTO,1612.34,DEBIT
2025-08-03 20:03:59,RENT PAYMENT,13909.2,DEBIT
2025-08-05 20:43:10,UBER,208.85,DEBIT
2025-08-06 09:55:02,AMAZON PRIME,638.17,DEBIT
2025-08-06 12:16:49,FLIPKART,1427.77,DEBIT
2025-08-06 15:50:13,STARBUCKS,777.43,DEBIT
2025-08-06 16:13:11,NETFLIX,372.17,DEBIT
2025-08-07 07:07:35,SPOTIFY,504.13,DEBIT
2025-08-07 08:36:33,BIGBASKET,1737.24,DEBIT
2025-08-07 22:36:19,CULT FIT GYM,2011.67,DEBIT
2025-08-09 10:03:12,OLA,237.72,DEBIT
2025-08-10 10:41:35,ZEPTO,1185.46,DEBIT
2025-08-10 17:09:26,UBER,243.77,DEBIT
2025-08-11 09:07:06,FLIPKART,1640.42,DEBIT
2025-08-11 19:30:53,ELECTRICITY BOARD,1480.88,DEBIT
2025-08-11 20:01:55,SWIGGY,462.21,DEBIT
2025-08-12 21:42:28,AIRTEL BROADBAND,1084.18,DEBIT
2025-08-13 11:48:08,WATER DEPT,1261.92,DEBIT
2025-08-18 21:47:17,DMART,464.15,DEBIT
2025-08-20 08:31:55,STARBUCKS,392.26,DEBIT
2025-08-20 12:01:45,UBER,483.67,DEBIT
2025-08-20 14:57:25,ZEPTO,973.48,DEBIT
2025-08-25 07:07:42,SWIGGY,485.5,DEBIT
2025-08-25 14:31:32,UBER,330.74,DEBIT
2025-08-27 21:05:51,SWIGGY,623.37,DEBIT
2025-09-01 19:07:17,SALARY CREDIT,72468.05,CREDIT
