Date,Description,Amount,Type
2025-07-01 08:57:10,SALARY CREDIT,50131.05,CREDIT
2025-07-02 21:06:39,FLIPKART,1589.1,DEBIT
2025-07-03 22:08:52,RENT PAYMENT,21871.16,DEBIT
2025-07-04 11:03:42,STARBUCKS,215.16,DEBIT
2025-07-05 13:07:59,SPOTIFY,337.75,DEBIT
2025-07-05 16:13:48,MYNTRA,2646.64,DEBIT
2025-07-05 17:06:48,CULT FIT GYM,2453.76,DEBIT
2025-07-07 10:16:39,NETFLIX,271.96,DEBIT
2025-07-07 12:18:43,AMAZON,1387.35,DEBIT
2025-07-07 13:29:52,AMAZON PRIME,606.44,DEBIT
2025-07-09 20:53:37,AIRTEL BROADBAND,1590.62,DEBIT
2025-07-10 20:51:00,STARBUCKS,726.49,DEBIT
2025-07-13 16:44:42,IRCTC,179.79,DEBIT
2025-07-13 17:35:03,UBER,242.77,DEBIT
2025-07-14 10:49:57,ELECTRICITY BOARD,994.98,DEBIT
2025-07-14 11:31:00,WATER DEPT,1320.24,DEBIT
2025-07-17 17:45:07,SWIGGY,525.49,DEBIT
2025-07-17 17:45:47,ZEPTO,818.48,DEBIT
2025-07-18 20:43:47,ZOMATO,488.22,DEBIT
2025-07-20 19:26:38,ZEPTO,1635.77,DEBIT
2025-07-21 13:39:45,ZEPTO,704.28,DEBIT
2025-07-22 11:45:41,DMART,883.41,DEBIT
2025-07-23 18:48:37,IRCTC,378.01,DEBIT
2025-07-24 10:24:42,BIGBASKET,1541.34,DEBIT
2025-07-24 13:18:28,IRCTC,333.42,DEBIT
2025-07-24 14:47:41,FLIPKART,2036.15,DEBIT
2025-07-24 21:53:14,UBER,185.56,DEBIT
2025-07-25 19:21:18,ZEPTO,747.53,DEBIT
2025-07-26 20:38:44,DMART,586.72,DEBIT
2025-08-01 12:43:04,SALARY CREDIT,50131.05,CREDIT
2025-08-01 18:28:15,ZEPTO,560.61,DEBIT
2025-08-02 08:11:50,OLA,116.76,DEBIT
2025-08-03 12:11:47,RENT PAYMENT,21871.16,DEBIT
2025-08-03 13:42:21,DMART,889.16,DEBIT
2025-08-05 12:37:54,AMAZON PRIME,606.44,DEBIT
2025-08-06 07:21:29,CULT FIT GYM,2453.76,DEBIT
2025-08-07 15:35:16,SPOTIFY,337.75,DEBIT
2025-08-08 10:24:02,NETFLIX,271.96,DEBIT
2025-08-09 16:31:50,WATER DEPT,1293.01,DEBIT
2025-08-10 08:09:59,ELECTRICITY BOARD,1042.62,DEBIT
2025-08-11 09:50:45,AIRTEL BROADBAND,1601.34,DEBIT
2025-08-11 10:10:49,SWIGGY,508.34,DEBIT
2025-08-12 22:35:52,DMART,811.0,DEBIT
2025-08-13 07:41:46,UBER,362.79,DEBIT
2025-08-13 10:24:16,DMART,1682.31,DEBIT
2025-08-13 19:27:20,OLA,269.47,DEBIT
2025-08-15 16:57:41,STARBUCKS,492.08,DEBIT
2025-08-18 09:13:42,STARBUCKS,204.4,DEBIT
2025-08-18 14:58:16,OLA,109.59,DEBIT
2025-08-18 20:41:52,AMAZON,2623.25,DEBIT
2025-08-20 14:02:43,ZEPTO,1686.05,DEBIT
2025-08-24 07:29:45,UBER,368.14,DEBIT
2025-08-24 18:32:51,STARBUCKS,369.7,DEBIT
2025-08-25 20:53:06,FLIPKART,1268.99,DEBIT
2025-08-26 20:34:34,BIGBASKET,1107.2,DEBIT
2025-09-01 09:48:47,SALARY CREDIT,50131.05,CREDIT
2025-09-03 08:44:54,RENT PAYMENT,21871.16,DEBIT
2025-09-05 07:36:38,ZEPTO,572.53,DEBIT
2025-09-05 16:40:09,BIGBASKET,1445.46,DEBIT
